age_range,book_author,rating_count
18-25,Carolyn Keene,111
18-25,Madeleine L'Engle,111
18-25,Sandra Brown,106
18-25,Lemony Snicket,102
18-25,Toni Morrison,102
18-25,Sidney Sheldon,101
18-25,Hermann Hesse,100
18-25,Nicholas Evans,100
18-25,PHILIP PULLMAN,98
18-25,Michael Moore,98
18-25,Charlotte Bronte,98
18-25,F. Scott Fitzgerald,97
18-25,TAMI HOAG,97
18-25,Paulo Coelho,96
18-25,Ray Bradbury,95
18-25,Robert Ludlum,95
18-25,Linda Howard,93
18-25,Gabriel Garcia Marquez,93
18-25,Gregory Maguire,93
18-25,Alice Hoffman,93
18-25,Judith McNaught,92
18-25,Ernest Hemingway,91
18-25,Isaac Asimov,90
18-25,DEAN KOONTZ,89
18-25,Janet Fitch,89
18-25,RAY BRADBURY,86
18-25,David Eddings,85
18-25,Tim Lahaye,84
18-25,Christine Feehan,83
18-25,Jack Kerouac,82
18-25,J. D. Robb,81
18-25,Jostein Gaarder,81
18-25,Arthur C. Clarke,81
18-25,Barbara Delinsky,81
18-25,Aldous Huxley,80
18-25,Alice Walker,80
18-25,Tracy Chevalier,80
18-25,Ayn Rand,80
18-25,Gertrude Chandler Warner,79
18-25,Marion Chesney,78
18-25,Jack London,78
18-25,Clive Cussler,78
18-25,Terry Brooks,78
18-25,Emily Bronte,77
18-25,Virginia Woolf,77
18-25,Jennifer Crusie,77
18-25,Ann Rule,77
18-25,Lewis Carroll,77
18-25,Umberto Eco,76
18-25,DANIELLE STEEL,76
18-25,Chuck Palahniuk,76
18-25,Bill Bryson,75
18-25,Billie Letts,75
18-25,Marian Keyes,74
18-25,Clamp,74
18-25,William Gibson,74
18-25,Debbie Macomber,74
18-25,Patricia Cornwell,73
18-25,Robin McKinley,73
18-25,Anne Tyler,73
18-25,Brian Jacques,72
18-25,Sylvia Plath,71
18-25,Dave Barry,71
18-25,Melissa Bank,71
18-25,Edgar Allan Poe,71
18-25,Linda Lael Miller,71
18-25,Fern Michaels,71
18-25,Robert A. Heinlein,71
18-25,Jules Verne,70
18-25,Meg Cabot,70
18-25,Beverly Cleary,69
18-25,James Joyce,69
18-25,Scott Adams,68
18-25,Elmore Leonard,68
18-25,Anita Diamant,67
18-25,Douglas Coupland,67
18-25,Bernhard Schlink,67
18-25,Louisa May Alcott,67
18-25,John Sandford,66
18-25,Robert James Waller,66
18-25,Jose Saramago,66
18-25,Joanne Harris,65
18-25,L.M. MONTGOMERY,65
18-25,Joseph Conrad,65
18-25,Harper Lee,65
18-25,SOPHIE KINSELLA,64
18-25,Leo Tolstoy,64
18-25,Thomas Hardy,64
18-25,Jonathan Kellerman,64
18-25,Richard Bach,64
18-25,Candace Bushnell,64
18-25,Jane Green,64
18-25,Jeffrey Eugenides,64
18-25,Sophie Kinsella,64
18-25,Jennifer Weiner,63
18-25,Cynthia Voigt,63
18-25,Terry Goodkind,63
18-25,Emma McLaughlin,63
18-25,Michael Cunningham,62
18-25,Iris Johansen,62
18-25,Carl Hiaasen,62
18-25,DIANA GABALDON,61
18-25,David Baldacci,61
18-25,Franz Kafka,61
18-25,Fannie Flagg,60
18-25,Caroline B. Cooney,60
18-25,Paul Auster,60
18-25,Albert Camus,60
18-25,Bram Stoker,60
18-25,Dick Francis,60
18-25,Francesca Lia Block,60
18-25,R. A. Salvatore,60
18-25,Milan Kundera,59
18-25,Dave Pelzer,59
18-25,Rosamunde Pilcher,59
18-25,Jane Hamilton,59
18-25,Armistead Maupin,59
18-25,Lori Foster,59
18-25,Mary Wollstonecraft Shelley,58
18-25,Edith Wharton,58
18-25,Sue Monk Kidd,58
18-25,Ursula K. Le Guin,58
18-25,Scott Turow,57
18-25,Nathaniel Hawthorne,57
18-25,Richard Adams,56
18-25,Laura Esquivel,56
18-25,Anne Perry,56
18-25,Annie Proulx,56
18-25,Christopher Golden,55
18-25,Joyce Carol Oates,55
18-25,Bernard Werber,55
18-25,Alexandre Dumas,55
18-25,David Guterson,55
18-25,Ben Elton,55
18-25,Susan Cooper,54
18-25,Stephanie Laurens,54
18-25,Clive Barker,54
18-25,Kathleen E. Woodiwiss,54
18-25,William Gerald Golding,54
18-25,Yann Martel,54
18-25,Alan Dean Foster,54
18-25,Jacquelyn Mitchard,53
18-25,Jean M. Auel,53
18-25,Elizabeth Lowell,53
18-25,SUSANNA KAYSEN,53
18-25,Kathy Reichs,53
18-25,Anonymous,53
18-25,CHUCK PALAHNIUK,52
18-25,Amanda Quick,52
18-25,Eric Schlosser,52
18-25,Jeffrey Archer,52
18-25,ANNA QUINDLEN,52
18-25,Luanne Rice,52
18-25,Julia Quinn,52
18-25,Andre Dubus III,52
18-25,Philip Pullman,51
18-25,Tony Hillerman,51
18-25,Henry James,50
18-25,Mitch Albom,50
18-25,Salman Rushdie,50
18-25,H. G. Wells,49
18-25,Bret Easton Ellis,49
18-25,Lisa Kleypas,49
18-25,Antoine de Saint-ExupÃ©ry,49
18-25,Elizabeth Berg,48
18-25,J.R.R. Tolkien,48
18-25,James Finn Garner,48
18-25,Marie Ferrarella,48
18-25,Arthur Miller,48
18-25,MARGARET ATWOOD,48
18-25,James A. Michener,48
18-25,Faye Kellerman,47
18-25,JEAN M. AUEL,47
18-25,Jim Davis,47
18-25,Frances Hodgson Burnett,47
18-25,Robert Louis Stevenson,47
18-25,Elie Wiesel,46
18-25,Lawrence Sanders,46
18-25,Jack Higgins,46
18-25,Eoin Colfer,46
18-25,Laura Ingalls Wilder,46
18-25,LaVyrle Spencer,46
18-25,Arthur Golden,46
18-25,Olivia Goldsmith,46
18-25,Bill Watterson,46
18-25,Kevin J. Anderson,46
18-25,Tom Wolfe,45
18-25,Winston Groom,45
18-25,TOM ROBBINS,45
18-25,Sue Miller,45
18-25,Margaret Truman,45
18-25,S. E. Hinton,45
18-25,Colleen McCullough,45
18-25,Stephen Chbosky,45
18-25,Maggie Shayne,44
18-25,Carly Phillips,44
18-25,IRIS JOHANSEN,44
18-25,Katherine Paterson,44
18-25,Caleb Carr,44
18-25,LOIS LOWRY,44
18-25,Robert Rankin,44
18-25,Avi,44
18-25,K. A. Applegate,43
18-25,Jodi Picoult,43
18-25,Terry McMillan,43
18-25,Dave Eggers,43
18-25,Jasper Fforde,42
18-25,James Herriot,42
18-25,Suzanne Brockmann,42
18-25,Gary Larson,42
18-25,Scott Cunningham,42
18-25,Katherine Neville,42
18-25,Tad Williams,42
18-25,Michael Ondaatje,42
18-25,Karen Robards,42
18-25,Nelson DeMille,42
18-25,Sheri S. Tepper,42
18-25,Susan Elizabeth Phillips,42
18-25,Iain Banks,41
18-25,Christina Dodd,41
18-25,Lois Lowry,41
18-25,Daniel Quinn,41
18-25,Not Applicable (Na ),41
18-25,Anne Rivers Siddons,41
18-25,A. Manette Ansay,41
18-25,Andre Norton,41
18-25,Ken Kesey,41
18-25,Elizabeth Peters,41
18-25,Richard North Patterson,40
18-25,Ruth Rendell,40
18-25,Victoria Holt,40
18-25,Christopher Moore,40
18-25,Arturo Perez-Reverte,40
18-25,Rebecca York,40
18-25,Diane Duane,40
18-25,Michael Connelly,40
18-25,Heather Graham,40
18-25,Carl Sagan,40
18-25,John Berendt,39
18-25,Victor Hugo,39
18-25,Steve Martin,39
18-25,Kay Hooper,39
18-25,Rudyard Kipling,39
18-25,Patrick Suskind,39
18-25,John Updike,39
18-25,Alexander McCall Smith,39
18-25,Joy Fielding,39
18-25,Diane Hoh,39
18-25,Barbara Taylor Bradford,39
18-25,Franklin W. Dixon,38
18-25,Gustave Flaubert,38
18-25,Jane Feather,38
18-25,James Redfield,37
18-25,Erma Bombeck,37
18-25,Patricia C. Wrede,37
18-25,Tanya Huff,37
18-25,Belva Plain,37
18-25,Philip K. Dick,37
18-25,Tim LaHaye,37
18-25,Dean Koontz,37
18-25,Tom Robbins,37
18-25,Italo Calvino,37
18-25,Michael Chabon,37
18-25,Peter David,37
18-25,Benjamin Hoff,36
18-25,Dr. Seuss,36
18-25,Wolfgang Hohlbein,36
18-25,Scott O'Dell,36
18-25,Haruki Murakami,36
18-25,Minette Walters,36
18-25,E. B. White,36
18-25,L.M. Montgomery,36
18-25,Larry McMurtry,36
18-25,Neal Stephenson,36
18-25,Homer,36
18-25,Bruce Coville,35
18-25,John Knowles,35
18-25,Larry Niven,35
18-25,V. C. Andrews,35
18-25,Stan Berenstain,35
18-25,Kaye Gibbons,35
18-25,Joseph Heller,35
18-25,D. H. Lawrence,35
18-25,Dennis Lehane,35
18-25,Elizabeth George,35
18-25,George Eliot,35
18-25,JON KRAKAUER,35
18-25,L. Ron Hubbard,35
18-25,Augusten Burroughs,35
18-25,Willa Cather,35
18-25,Jeffery Deaver,34
18-25,Garth Nix,34
18-25,Anne Stuart,34
18-25,Lurlene McDaniel,34
18-25,Garrison Keillor,34
18-25,Patricia D. Cornwell,34
18-25,Noah Gordon,34
18-25,Diana Palmer,34
18-25,Alex Garland,34
18-25,Susan Wiggs,34
18-25,Arundhati Roy,34
18-25,Max Allan Collins,34
18-25,Kat Martin,34
18-25,Diana Wynne Jones,34
18-25,ISAAC ASIMOV,34
18-25,Brenda Joyce,34
18-25,Greg Iles,34
18-25,Nick Bantock,33
18-25,Vicki Lewis Thompson,33
18-25,WILLIAM GOLDMAN,33
18-25,Graham Greene,33
18-25,Anne Frank,33
18-25,J. D. Salinger,33
18-25,Janet Dailey,33
18-25,MAYA ANGELOU,33
18-25,Daniel Pennac,33
18-25,Jean Craighead George,33
18-25,L. Frank Baum,33
18-25,Judith Krantz,33
18-25,Zora Neale Hurston,32
18-25,Jan Karon,32
18-25,Jackie Collins,32
18-25,C.S. Lewis,32
18-25,Chaim Potok,32
18-25,Mario Puzo,32
18-25,Kate Chopin,32
18-25,Tanith Lee,32
18-25,JUDY BLUME,32
18-25,Robert Silverberg,32
18-25,Roger Zelazny,32
18-25,Lois Duncan,32
18-25,LOUIS L'AMOUR,32
18-25,MITCH ALBOM,32
18-25,Janette Oke,32
18-25,Louise Rennison,32
18-25,LURLENE MCDANIEL,31
18-25,LAURELL K. HAMILTON,31
18-25,John Gray,31
18-25,Ursula Hegi,31
18-25,Shannon Drake,31
18-25,Tawni O'Dell,31
18-25,Robert Fulghum,31
18-25,Raymond E. Feist,31
18-25,Rita Mae Brown,31
18-25,Jo Beverley,31
18-25,Susan Vreeland,31
18-25,TERESA MEDEIROS,31
18-25,Douglas Preston,30
18-25,Philippa Gregory,30
18-25,Lynne Reid Banks,30
18-25,ALBERT CAMUS,30
18-25,Poppy Z. Brite,30
18-25,Peter Straub,30
18-25,Katherine Applegate,30
18-25,Amelie Nothomb,30
18-25,Martha Grimes,30
18-25,Sharon Sala,30
18-25,Lloyd Alexander,30
18-25,Chris Bohjalian,30
18-25,Jeanette Winterson,30
18-25,Kasey Michaels,30
18-25,Sandra Hill,30
18-25,Michael Ende,30
18-25,Gaston Leroux,29
18-25,LOUIS SACHAR,29
18-25,Daniel Defoe,29
18-25,MADELEINE L'ENGLE,29
18-25,Henning Mankell,29
18-25,David Lodge,29
18-25,William Sleator,29
18-25,Teresa Medeiros,29
18-25,Jonathan Swift,29
18-25,Timothy Zahn,29
18-25,Arthur Conan Doyle,29
18-25,Lisa Jackson,29
18-25,MARION ZIMMER BRADLEY,29
18-25,Marc Levy,29
18-25,Steve Perry,29
18-25,Barbara Michaels,29
18-25,Lisa Scottoline,28
18-25,Michael Palmer,28
18-25,Morgan Llywelyn,28
18-25,JANE SMILEY,28
18-25,Sharon Shinn,28
18-25,Alessandro Baricco,28
18-25,Charles Bukowski,28
18-25,Norah Hess,28
18-25,Beatrix Potter,28
18-25,Kazuo Ishiguro,28
18-25,Patricia Gaffney,28
18-25,Beverly Barton,28
18-25,Jane Smiley,28
18-25,Catherine Anderson,28
18-25,Pat Conroy,28
18-25,CHARLES FRAZIER,27
18-25,Cherie Bennett,27
18-25,Herge,27
18-25,Herman Melville,27
18-25,Simon Winchester,27
18-25,Banana Yoshimoto,27
18-25,DONNA TARTT,27
18-25,Cassie Edwards,27
18-25,Robert B. Parker,27
18-25,Ed McBain,27
18-25,Gary Paulsen,27
18-25,Stephen R. Donaldson,27
18-25,ANN BRASHARES,27
18-25,L.J. Smith,27
18-25,Peter Hoeg,27
18-25,Rosemary Rogers,27
18-25,ANNE TYLER,27
18-25,Irvine Welsh,27
18-25,Diane Mott Davidson,27
18-25,W. E. B. Griffin,27
18-25,Richard Preston,26
18-25,Rumiko Takahashi,26
18-25,Elizabeth Wurtzel,26
18-25,Iain Pears,26
18-25,Louis Sachar,26
18-25,Sara Paretsky,26
18-25,Mark Z. Danielewski,26
18-25,Enid Blyton,26
18-25,Sherrilyn Kenyon,26
18-25,Ellis Peters,26
18-25,Silver Ravenwolf,26
18-25,VLADIMIR NABOKOV,26
18-25,Sue Townsend,26
18-25,Carol Shields,26
18-25,Ira Levin,26
18-25,Plato,25
18-25,David Weber,25
18-25,Sheri Reynolds,25
18-25,Guy Gavriel Kay,25
18-25,Stefan Zweig,25
18-25,Jane Yolen,25
18-25,Stephen R. Lawhead,25
18-25,Charles de Lint,25
18-25,William Faulkner,25
18-25,Anthony Burgess,25
18-25,Catherine Ryan Hyde,25
18-25,Ann Patchett,25
18-25,Frederick Forsyth,25
18-25,Christian Jacq,25
18-25,Katherine Kurtz,25
18-25,Wilson Rawls,25
18-25,SUE GRAFTON,25
18-25,Louis L'Amour,25
18-25,ROBERT FULGHUM,25
18-25,Mary Jo Putney,25
18-25,Kristin Hannah,24
18-25,LISA GARDNER,24
18-25,Catherine Marshall,24
18-25,Richard Carlson,24
18-25,Geoffrey Chaucer,24
18-25,Anna Quindlen,24
18-25,Henry David Thoreau,24
18-25,Michel Houellebecq,24
18-25,Candace Camp,24
18-25,Henrik Ibsen,24
18-25,Spider Robinson,24
18-25,Luis Sepulveda,24
18-25,Madeline Baker,24
18-25,Patricia Highsmith,24
18-25,LAUREN WEISBERGER,24
18-25,James Howe,24
18-25,ROBERT PIRSIG,24
18-25,Dodie Smith,23
18-25,RAYMOND FEIST,23
18-25,John D. MacDonald,23
18-25,Meggin Cabot,23
18-25,Richard Russo,23
18-25,Joan Johnston,23
18-25,Walt Disney,23
18-25,Charlaine Harris,23
18-25,Christopher Rice,23
18-25,PAUL REISER,23
18-25,Carol Higgins Clark,23
18-25,Dorothy Garlock,23
18-25,Tennessee Williams,23
18-25,Lavyrle Spencer,23
18-25,Jon Krakauer,23
18-25,Ellen Raskin,23
18-25,Isabel Wolff,23
18-25,Ian McEwan,23
18-25,David Brin,23
18-25,Sherryl Woods,23
18-25,Carla Neggers,23
18-25,JoAnn Ross,23
18-25,RITA MAE BROWN,23
18-25,Susan Andersen,23
18-25,Barbara Ehrenreich,23
18-25,Greg Bear,23
18-25,Kate William,23
18-25,Disney Enterprises Inc,23
18-25,Michael Jan Friedman,23
18-25,Dorothy Allison,23
18-25,William Diehl,23
18-25,Stephen Coonts,22
18-25,Stephen Crane,22
18-25,William Golding,22
18-25,Sebastian Junger,22
18-25,Whitley Strieber,22
18-25,L. E. Modesitt Jr.,22
18-25,L. M. Montgomery,22
18-25,Victoria Alexander,22
18-25,Kate Atkinson,22
18-25,Brian Herbert,22
18-25,Lindsay McKenna,22
18-25,Susan Mallery,22
18-25,Antoine De Saint-Exupery,22
18-25,MERCER MAYER,22
18-25,Lisa Jewell,22
18-25,Jennifer Blake,22
18-25,Philip Roth,22
18-25,Bradley Trevor Greive,22
18-25,PIERS ANTHONY,22
18-25,Don DeLillo,22
18-25,William Styron,22
18-25,Michael Blake,22
18-25,JOHN IRVING,22
18-25,Olive Ann Burns,22
18-25,Lynsay Sands,22
18-25,Andrew M. Greeley,22
18-25,Connie Mason,22
18-25,Ernest J. Gaines,22
18-25,DAI SIJIE,22
18-25,Lynn Kurland,22
18-25,Arthur Conan, Sir Doyle,22
18-25,William S. Burroughs,22
18-25,John Case,22
18-25,Jonathan Franzen,22
18-25,Tess Gerritsen,22
18-25,John Fowles,22
18-25,Len Deighton,22
18-25,Robert Morgan,22
18-25,Dave Duncan,22
18-25,John Kennedy Toole,22
18-25,Robert Asprin,21
18-25,Frank Mccourt,21
18-25,Thomas Mann,21
18-25,Michel Faber,21
18-25,Lawrence Block,21
18-25,Chitra Banerjee Divakaruni,21
18-25,John Le Carre,21
18-25,P. D. James,21
18-25,Stuart Woods,21
18-25,Breena Clarke,21
18-25,RenÃ?Â© Barjavel,21
18-25,Fyodor Dostoyevsky,21
18-25,Max Lucado,21
18-25,Gwyn Hyman Rubio,21
18-25,Tim Allen,21
18-25,Ben Bova,21
18-25,CHRISTINA SCHWARZ,21
18-25,Richard Bachman,21
18-25,Anais Nin,21
18-25,Wladimir Kaminer,21
18-25,ANNE FRANK,21
18-25,Tori Carrington,21
18-25,Tony Hawks,21
18-25,Boris Vian,21
18-25,Alexandra Ripley,21
18-25,Mary McGarry Morris,21
18-25,Frances Mayes,21
18-25,Peter Mayle,21
18-25,Phyllis A. Whitney,21
18-25,Wilkie Collins,21
18-25,LAURA ESQUIVEL,21
18-25,Shirley Rousseau Murphy,21
18-25,Martin Cruz Smith,21
18-25,Francois M. Voltaire,21
18-25,Julia Alvarez,21
18-25,E. M. Forster,20
18-25,Maya Angelou,20
18-25,Barbara Hambly,20
18-25,Brad Meltzer,20
18-25,JANE GREEN,20
18-25,Virginia Henley,20
18-25,Richie Tankersley Cusick,20
18-25,Leon Uris,20
18-25,Stella Cameron,20
18-25,Jim Wilson,20
18-25,Jasmine Cresswell,20
18-25,Roddy Doyle,20
18-25,Michael Moorcock,20
18-25,SANDRA CISNEROS,20
18-25,PAUL ZINDEL,20
18-25,Robert C. Atkins,20
18-25,Bret Lott,20
18-25,Georgette Heyer,20
18-25,Robin Hobb,20
18-25,Jorge Luis Borges,20
18-25,Samuel Beckett,20
18-25,Tamora Pierce,20
18-25,Sharon Creech,19
18-25,Diane Carey,19
18-25,Connie Willis,19
18-25,Donna Leon,19
18-25,Daphne Du Maurier,19
18-25,Ann Rinaldi,19
18-25,Peter S. Beagle,19
18-25,Laura Joh Rowland,19
18-25,Robert McCammon,19
18-25,J. M. Barrie,19
18-25,Martin H. Greenberg,19
18-25,Rand Miller,19
18-25,H. P. Lovecraft,19
18-25,Sark,19
18-25,Sarah Waters,19
18-25,Muriel Jensen,19
18-25,Janelle Denison,19
18-25,Janelle Taylor,19
18-25,Wendy Holden,19
18-25,Anne Lamott,19
18-25,Tom Holt,19
18-25,Ellen Datlow,19
18-25,Mario Vargas Llosa,19
18-25,Mel Odom,19
18-25,Howard Fast,19
18-25,Tim F. Lahaye,19
18-25,Elaine Coffman,19
18-25,Jimmy Buffett,19
18-25,Ann-Marie MacDonald,19
18-25,Fred Vargas,18
18-25,Leigh Greenwood,18
18-25,Sharyn McCrumb,18
18-25,John Marsden,18
18-25,Kim Stanley Robinson,18
18-25,A.N. Roquelaure,18
18-25,Amanda Ashley,18
18-25,Rebecca Brandewyne,18
18-25,Dava Sobel,18
18-25,Upton Sinclair,18
18-25,Louise Erdrich,18
18-25,Shel Silverstein,18
18-25,Penny Jordan,18
18-25,J.A. Jance,18
18-25,Zadie Smith,18
18-25,Wayne Barton,18
18-25,Robertson Davies,18
18-25,Arthur Hailey,18
18-25,LAURIE R. KING,18
18-25,Katherine Stone,18
18-25,OSCAR WILDE,18
18-25,Ha Jin,18
18-25,James McBride,18
18-25,Julio Cortazar,18
18-25,Friedrich Nietzsche,18
18-25,Elizabeth Bevarly,18
18-25,Benjamin Lebert,18
18-25,George Lucas,18
18-25,GABRIEL GARCIA MARQUEZ,18
18-25,DOUGLAS ADAMS,18
18-25,Charles Grant,18
18-25,Ruth Langan,18
18-25,Nancy Holder,18
18-25,William Goldman,18
18-25,Richard Matheson,18
18-25,Thomas Keneally,18
18-25,Mark Haddon,18
18-25,Beverly Lewis,18
18-25,Matt Groening,18
18-25,Bernard Cornwell,18
18-25,Fred Saberhagen,18
18-25,Sophocles,18
18-25,Susan Saunders,17
18-25,Lois McMaster Bujold,17
18-25,Robert C. O'Brien,17
18-25,Tamar Myers,17
18-25,Alistair MacLean,17
18-25,Juliet Marillier,17
18-25,Adriana Trigiani,17
18-25,D.H. Lawrence,17
18-25,Robert Harris,17
18-25,Karen Cushman,17
18-25,Betty Smith,17
18-25,John Vornholt,17
18-25,Pearl Cleage,17
18-25,Erica Spindler,17
18-25,LOUIS DE BERNIERES,17
18-25,Paul Theroux,17
18-25,LLOYD ALEXANDER,17
18-25,Rachel Gibson,17
18-25,Iris Murdoch,17
18-25,Mary Stewart,17
18-25,Dale Carnegie,17
18-25,Jo Ann Ferguson,17
18-25,Primo Levi,17
18-25,Gordon R. Dickson,17
18-25,Diana Gabaldon,17
18-25,Susan Isaacs,17
18-25,Caroline Burnes,17
18-25,Melinda Haynes,17
18-25,Robin Jones Gunn,17
18-25,Rebecca Winters,17
18-25,Jane Heller,17
18-25,POPPY BRITE,17
18-25,HUNTER S. THOMPSON,17
18-25,Kathy Lette,17
18-25,Susan Krinard,17
18-25,Fyodor Dostoevsky,17
18-25,Jeanne Kalogridis,17
18-25,Emile Zola,17
18-25,Jerry Spinelli,17
18-25,Erich Segal,17
18-25,Miguel Delibes,17
18-25,LAURA HILLENBRAND,17
18-25,Vince Flynn,17
18-25,Mildred D. Taylor,17
18-25,Todd Strasser,17
18-25,Nancy Taylor Rosenberg,17
18-25,Tom Sharpe,17
18-25,Merline Lovelace,17
18-25,Peter Benchley,17
18-25,Phyllis Reynolds Naylor,16
18-25,Octavia E. Butler,16
18-25,Carole Nelson Douglas,16
18-25,Laura Zigman,16
18-25,JONATHAN KELLERMAN,16
18-25,Robert K. Tanenbaum,16
18-25,R.A. Salvatore,16
18-25,David J. Pelzer,16
18-25,Mary Balogh,16
18-25,Suzanne Forster,16
18-25,Cecily von Ziegesar,16
18-25,C.J. Cherryh,16
18-25,Alice Borchardt,16
18-25,Lisa Cach,16
18-25,Max Frisch,16
18-25,Lorenzo Carcaterra,16
18-25,Alice McDermott,16
18-25,John Hersey,16
18-25,James P. Hogan,16
18-25,Betsy Byars,16
18-25,Patrick SÃ?Â¼skind,16
18-25,Emily Dickinson,16
18-25,Emilie Richards,16
18-25,John T. Lescroart,16
18-25,Truman Capote,16
18-25,Mary Karr,16
18-25,T. H. White,16
18-25,Katherine Dunn,16
18-25,CORMAC MCCARTHY,16
18-25,Stephen R. Covey,16
18-25,Edward Packard,16
18-25,Patricia Potter,16
18-25,Erich Maria Remarque,16
18-25,Pamela Morsi,16
18-25,Lynne Ewing,16
18-25,Laurence Yep,16
18-25,Claire Delacroix,16
18-25,Margaret George,16
18-25,Elaine Cunningham,16
18-25,Chinua Achebe,16
18-25,Patricia Rice,16
18-25,Katie Macalister,16
18-25,Dante Alighieri,16
18-25,Harry Turtledove,16
18-25,Anne Bishop,16
18-25,Joanne Greenberg,16
18-25,T. Coraghessan Boyle,16
18-25,Sarah Mlynowski,16
18-25,Cathy Maxwell,15
18-25,Sheri Holman,15
18-25,Jean Plaidy,15
18-25,Rachel Lee,15
18-25,Guy de Maupassant,15
18-25,H. Jackson Brown,15
18-25,Christie Golden,15
18-25,Jill Barnett,15
18-25,Al Franken,15
18-25,Susan Johnson,15
18-25,IAN MCEWAN,15
18-25,Edwidge Danticat,15
18-25,Sigmund Freud,15
18-25,Robert Holdstock,15
18-25,Golden Books,15
18-25,Hunter S. Thompson,15
18-25,Edward Gorey,15
18-25,Christopher Fowler,15
18-25,Diane Johnson,15
18-25,Dara Joy,15
18-25,James Clavell,15
18-25,Anna Gavalda,15
18-25,Marsha Canham,15
18-25,Brian Lumley,15
18-25,Norma Fox Mazer,15
18-25,ROBERT CORMIER,15
18-25,Poul Anderson,15
18-25,Hannah Howell,15
18-25,Art Spiegelman,15
18-25,L. J. Smith,15
18-25,James Fenimore Cooper,15
18-25,Eileen Goudge,15
18-25,Jennifer Roberson,15
18-25,T. S. Eliot,15
18-25,Laura Wolf,15
18-25,Wilbur A. Smith,15
18-25,Patricia A. McKillip,15
18-25,Robert Shea,15
18-25,Ralph Ellison,15
18-25,Deborah Chester,15
18-25,Donna Woolfolk Cross,15
18-25,Joshua Piven,15
18-25,F. Paul Wilson,15
18-25,Lynda Curnyn,15
18-25,Spencer Johnson,15
18-25,Donna Tartt,15
18-25,Miguel De Cervantes Saavedra,15
18-25,John Colapinto,15
18-25,Sylvia Nasar,15
18-25,Walter Dean Myers,15
18-25,JULIA GLASS,15
18-25,Douglas Niles,15
18-25,Voltaire,15
18-25,Zilpha Keatley Snyder,15
18-25,Collectif,15
18-25,Margaret Mitchell,15
18-25,Lucy Maud Montgomery,15
18-25,Bruce Wilkinson,15
18-25,John le Carre,15
18-25,Amelia Atwater-Rhodes,15
18-25,John Jakes,15
18-25,Norton Juster,15
18-25,Stephen E. Ambrose,15
18-25,Federico Garcia Lorca,15
18-25,Robert J. Sawyer,14
18-25,Jay McInerney,14
18-25,Betty Neels,14
18-25,Marguerite Duras,14
18-25,Joanna Campbell,14
18-25,Chelsea Quinn Yarbro,14
18-25,J. M. Coetzee,14
18-25,Dale Brown,14
18-25,Ed Greenwood,14
18-25,Donna Jo Napoli,14
18-25,W. Michael Gear,14
18-25,Carol O'Connell,14
18-25,Bertrice Small,14
18-25,Tom Perrotta,14
18-25,William Blake,14
18-25,Frank Peretti,14
18-25,Hanif Kureishi,14
18-25,Eduardo Mendoza,14
18-25,Natalie Babbitt,14
18-25,Katharine Kerr,14
18-25,Ted L. Nancy,14
