book_author,rating_count
Oscar Wilde,503
Ed McBain,502
Hermann Hesse,500
William Gibson,499
Alan Dean Foster,498
Ursula K. Le Guin,494
James Lee Burke,494
Dean Koontz,493
Ridley Pearson,490
L.M. MONTGOMERY,489
Ruth Rendell,489
Tom Wolfe,487
Harper Lee,486
Tess Gerritsen,482
Patricia D. Cornwell,480
Janette Oke,479
F. Scott Fitzgerald,472
RAY BRADBURY,469
Dale Brown,468
Edith Wharton,468
Jane Green,467
Carol Shields,464
Susan Isaacs,460
Laura Ingalls Wilder,459
Kathleen E. Woodiwiss,458
Sebastian Junger,455
Peter Mayle,454
Douglas Coupland,453
Paul Auster,452
Emily Bronte,450
Judith Krantz,449
Ellis Peters,445
Peter Straub,444
Brian Jacques,439
Milan Kundera,438
Louisa May Alcott,434
Dave Pelzer,431
Mary Daheim,431
Jane Smiley,430
LAURA HILLENBRAND,429
Stan Berenstain,426
Jonathan Franzen,424
Richard Paul Evans,424
Patricia Gaffney,423
SOPHIE KINSELLA,421
Laura Esquivel,421
Lavyrle Spencer,420
SUE GRAFTON,420
Stephen White,417
Jeffrey Eugenides,416
John Berendt,416
Jack Kerouac,416
James Redfield,416
Jostein Gaarder,415
Franklin W. Dixon,414
Not Applicable (Na ),413
Candace Bushnell,413
Kevin J. Anderson,413
Eoin Colfer,412
Sophie Kinsella,410
Nathaniel Hawthorne,410
JOHN IRVING,408
Chris Bohjalian,405
Steven Paul Martini,404
Cassie Edwards,403
Tamar Myers,402
Lisa Jackson,401
Ayn Rand,397
Richard Adams,396
Stephanie Laurens,395
Thomas Hardy,395
John Updike,394
Susan Elizabeth Phillips,394
Richard Russo,393
TOM ROBBINS,392
James Joyce,392
Richard Carlson,391
Christine Feehan,390
P. D. James,388
Robert Fulghum,384
Terry Goodkind,384
Michael Ondaatje,381
Meg Cabot,381
Erica Spindler,380
Ann-Marie MacDonald,378
Dave Eggers,378
Jim Davis,378
Louise Erdrich,377
Douglas Preston,377
Christina Dodd,376
Brad Meltzer,376
Jose Saramago,375
A. Manette Ansay,375
Frederick Forsyth,371
John D. MacDonald,371
Sheri S. Tepper,370
Marcia Muller,368
Philip Pullman,368
John T. Lescroart,368
Joseph Wambaugh,366
Armistead Maupin,366
Neal Stephenson,366
Paul Theroux,364
Lori Foster,363
Jasper Fforde,363
Carl Sagan,362
Perri O'Shaughnessy,360
Gertrude Chandler Warner,360
Carly Phillips,359
John Jakes,359
Susan Wiggs,356
Bret Lott,354
Carol Higgins Clark,353
Anne Lamott,353
Edgar Allan Poe,353
Anna Quindlen,352
Sharon Sala,352
Michael Chabon,352
MITCH ALBOM,351
Eric Schlosser,349
John Gray,349
Nancy Taylor Rosenberg,349
RITA MAE BROWN,347
Suzanne Brockmann,346
John Le Carre,346
Carla Neggers,342
HARLAN COBEN,342
Aldous Huxley,342
JANE SMILEY,340
Caroline B. Cooney,339
Anonymous,339
Joan Johnston,338
Phillip Margolin,338
Connie Willis,338
Richard Preston,337
CHARLES FRAZIER,337
Dr. Seuss,337
Steve Martin,337
Maggie Shayne,337
Harlan Coben,336
Lewis Carroll,335
Dorothy Gilman,333
Barbara Cartland,332
Adriana Trigiani,329
Mary Wollstonecraft Shelley,329
LOUIS L'AMOUR,327
Andre Norton,325
Tad Williams,324
E. B. White,324
Frances Hodgson Burnett,323
Henry James,323
Jules Verne,322
Barbara Ehrenreich,321
Louis L'Amour,320
Walter Mosley,319
Robert Louis Stevenson,319
Dorothy Garlock,318
Robert Morgan,317
Arundhati Roy,316
Eileen Goudge,316
Whitley Strieber,314
Stella Cameron,311
Tim LaHaye,310
Susan Vreeland,309
Barbara Hambly,308
Philip K. Dick,307
James Finn Garner,306
Cynthia Voigt,306
Greg Bear,306
Joseph Conrad,305
Mary Stewart,304
Ben Elton,302
Peter Hoeg,300
Leo Tolstoy,299
Christopher Golden,298
Lynne Reid Banks,298
Shannon Drake,296
Haruki Murakami,296
MARGARET ATWOOD,295
Susan Cooper,295
Tom Robbins,294
Max Lucado,293
Mary McGarry Morris,293
David Brin,293
Robert K. Tanenbaum,291
Martin Cruz Smith,291
Graham Greene,289
Iain Pears,288
Patricia Highsmith,288
Debbie Dadey,288
David Morrell,288
Jane Feather,288
Augusten Burroughs,287
Julia Quinn,287
Kasey Michaels,287
LOIS LOWRY,286
H. G. Wells,286
Janelle Taylor,286
John le Carre,286
Lisa Kleypas,285
Chuck Palahniuk,283
Jill Churchill,282
Benjamin Hoff,282
Robertson Davies,281
Bentley Little,280
Diane Duane,279
Robert Asprin,278
LORNA LANDVIK,278
Philippa Gregory,278
Steve Perry,278
Winston Groom,277
Jim Wilson,277
Dav Pilkey,276
Michael Jan Friedman,276
Len Deighton,276
Walt Disney,276
Henning Mankell,275
Jane Heller,275
Arthur Golden,275
Robert McCammon,275
R. A. Salvatore,274
JUDY BLUME,274
Katherine Paterson,274
Maya Angelou,274
Richard Laymon,273
Ian McEwan,273
Bram Stoker,273
Arlene Eisenberg,272
Stephen R. Donaldson,272
Simon Winchester,272
L. Ron Hubbard,272
Arturo Perez-Reverte,272
ISAAC ASIMOV,271
Marie Ferrarella,270
Iain Banks,270
Rudyard Kipling,269
Sue Townsend,269
LOUIS SACHAR,269
Ian Rankin,269
Kazuo Ishiguro,269
Sheri Reynolds,268
Jennifer Blake,268
Willa Cather,267
Kat Martin,267
Gwyn Hyman Rubio,267
Robert Silverberg,267
Donna Leon,267
David Lodge,267
Susan Wittig Albert,266
Stephen R. Covey,266
JILL CONNER BROWNE,265
Sylvia Plath,264
Robin McKinley,264
Salman Rushdie,264
Rex Stout,262
DONNA TARTT,261
Ben Bova,261
MAYA ANGELOU,261
J.R.R. Tolkien,261
John Kennedy Toole,261
Joanna Cole,261
Anne George,260
Betty Neels,260
DAI SIJIE,260
Mario Puzo,260
Mary Alice Monroe,260
Enid Blyton,259
Bruce Coville,259
Jean Craighead George,259
M. C. Beaton,258
William Diehl,258
Leon Uris,258
Katherine Neville,257
Vicki Lewis Thompson,257
Rebecca York,257
Jo Beverley,256
Lois McMaster Bujold,255
Judith Michael,255
Antoine de Saint-Exup̩ry,255
Catherine Ryan Hyde,255
L. Frank Baum,255
Jon Krakauer,254
V. C. Andrews,254
Victoria Holt,254
Linda Fairstein,253
Katherine Kurtz,253
T. Coraghessan Boyle,253
Carolyn G. Hart,252
Dorothy Allison,252
Golden Books,251
Rosemary Rogers,251
Katherine Applegate,251
Brenda Joyce,250
Alessandro Baricco,250
Mary Jo Putney,250
ELIZABETH GEORGE,249
Carole Nelson Douglas,248
Phyllis A. Whitney,248
Diana Wynne Jones,248
Bertrice Small,247
Alexandre Dumas,246
Patrick Suskind,246
Al Franken,246
Bret Easton Ellis,246
Avi,246
Tawni O'Dell,245
ROBERT FULGHUM,244
Louise Rennison,243
Alice McDermott,243
Steve Martini,242
George Eliot,242
Thomas Keneally,242
Ernest J. Gaines,242
Geraldine Brooks,241
Olive Ann Burns,241
Dominick Dunne,241
Tanya Huff,241
Elie Wiesel,240
IAN MCEWAN,239
Bill Cosby,238
John J. Nance,237
Nick Bantock,236
Zora Neale Hurston,235
Connie Mason,235
Deepak Chopra,235
Gary Paulsen,235
Joan Hess,234
Pearl Cleage,234
Roger Zelazny,233
Daniel Quinn,232
Alexandra Ripley,232
CHRISTINA SCHWARZ,232
Todd Strasser,232
SUSANNA KAYSEN,232
Chitra Banerjee Divakaruni,231
Chaim Potok,231
Anne Stuart,231
Michel Faber,230
Italo Calvino,230
James McBride,230
Dana Stabenow,229
Jerry B. Jenkins,229
Joseph Heller,228
LAURIE R. KING,228
Franz Kafka,228
John Case,228
Poul Anderson,227
Kathleen O'Neal Gear,227
Sherryl Woods,227
Norman Bridwell,227
D. H. Lawrence,227
William Gerald Golding,226
Monica Ferris,226
KRISTIN HANNAH,226
Susan Andersen,226
Kristin Hannah,226
Stephen Hunter,226
Susan Mallery,225
Philip Roth,225
Ann B. Ross,224
Max Allan Collins,224
ANN PACKER,224
Paula Danziger,223
Catherine Anderson,223
Timothy Zahn,222
Gail Tsukiyama,221
Lois Lowry,221
Robert Crais,219
Tim Allen,219
Breena Clarke,218
Banana Yoshimoto,217
TESS GERRITSEN,217
Albert Camus,217
Nicci French,217
W. Michael Gear,216
M. Scott Peck,216
Frances Mayes,216
Herman Wouk,215
Kim Stanley Robinson,215
William Shatner,214
Dan Simmons,214
Nancy Martin,214
Joanna Trollope,214
E. L. Doctorow,213
Jimmy Buffett,213
Whitney Otto,213
Alex Kava,213
Margaret Maron,212
Wendy Holden,212
Carole Mortimer,210
Diane Carey,210
Francesca Lia Block,209
Herman Melville,208
Nancy Pickard,207
Virginia Henley,207
William Faulkner,207
Ken Kesey,207
Fred Saberhagen,207
David Weber,207
Don DeLillo,206
Zadie Smith,206
Ngaio Marsh,206
Gustave Flaubert,206
F. Paul Wilson,205
Martin H. Greenberg,205
Raymond E. Feist,205
CHUCK PALAHNIUK,205
Louis Sachar,205
Tami Hoag,205
Charles de Lint,204
Noah Gordon,204
Lois Duncan,204
Harry Turtledove,203
L.M. Montgomery,203
Sarah Waters,203
Marge Piercy,202
Charlaine Harris,202
Kate Atkinson,202
Beatrix Potter,201
Fay Weldon,201
Daniel Defoe,200
C.S. Lewis,200
Beverly Lewis,200
Sandra Hill,199
Sark,199
Scott O'Dell,199
Marc Levy,199
Roddy Doyle,198
SANDRA BROWN,198
Cleveland Amory,198
Mary Balogh,198
Robert Harris,198
James Herbert,197
S. E. Hinton,197
Arthur Hailey,197
JOHN SAUL,197
Stephen E. Ambrose,196
Wilbur A. Smith,196
DIANE MOTT DAVIDSON,196
Vince Flynn,196
Charlotte MacLeod,196
JoAnn Ross,196
Kate Wilhelm,196
Bernard Cornwell,195
Carol O'Connell,195
Donald J. Sobol,195
Val McDermid,195
Lynn Kurland,194
BELVA PLAIN,194
ANN BRASHARES,193
Jeanette Winterson,193
Justine Korman,193
Erich Segal,193
LAUREN WEISBERGER,193
Muriel Jensen,193
Don Pendleton,192
Spider Robinson,192
Tom Sharpe,191
Lisa Jewell,191
Ha Jin,190
T. Jefferson Parker,190
Emma Darcy,190
Spencer Johnson,189
Mary Pope Osborne,189
Victoria Alexander,189
Ira Levin,189
Katherine Stone,189
MADELEINE L'ENGLE,189
Myla Goldberg,189
Melinda Haynes,189
H. Jackson Brown,188
Patrick O'Brian,188
Rebecca Winters,187
Lorenzo Carcaterra,187
Penny Jordan,186
Rachel Gibson,186
Charles Frazier,186
Dana Fuller Ross,186
Karen Harper,186
Wilkie Collins,185
LAURELL K. HAMILTON,185
Julia Alvarez,185
Kate Chopin,185
Phyllis Reynolds Naylor,185
Edwidge Danticat,185
Mark Haddon,184
Homer,184
Arthur Miller,184
FANNIE FLAGG,184
Barbara Parker,184
Jeff Deaver,183
Harry Harrison,182
Pearl S. Buck,182
Dorothy L. Sayers,182
Brian Lumley,182
Bailey White,181
Earlene Fowler,181
John Darnton,181
EDWARD RUTHERFURD,181
MERCER MAYER,180
Madeline Baker,180
Morgan Llywelyn,180
Frank E. Peretti,180
LOUIS DE BERNIERES,180
Shel Silverstein,179
Christian Jacq,179
Walt Disney Productions,179
Diane Johnson,179
Debbie MacOmber,179
John Fowles,179
Richard Matheson,178
Wilbur Smith,178
Jane Yolen,177
Rachel Lee,177
Jeff Rovin,177
Rohinton Mistry,177
Tracey West,177
Mario Vargas Llosa,177
Candace Camp,177
Phillip C. McGraw,176
Patricia C. Wrede,176
James Clavell,176
Isabel Wolff,176
Robert C. Atkins,176
Stephen R. Lawhead,176
Elinor Lipman,176
Anne Frank,176
Kinky Friedman,176
Dava Sobel,175
Deborah Smith,175
Victor Hugo,175
RICHARD NORTH PATTERSON,175
J. F. Freedman,175
Fyodor Dostoyevsky,175
Howard Fast,175
Gary Zukav,174
WILLIAM GOLDMAN,174
Stephen J. Cannell,174
Jhumpa Lahiri,174
Daniel Pennac,174
Shirley MacLaine,174
Sarah Ban Breathnach,173
Kate William,173
James Howe,173
KENT HARUF,173
Arthur Conan Doyle,172
Iyanla Vanzant,172
Ellen Datlow,172
Scott Cunningham,172
Peter Benchley,172
Judith Kelman,172
Sylvia Browne,172
Bob Greene,172
Carlos Castaneda,172
Robert J. Sawyer,172
Mary Lynn Baxter,172
Garth Nix,171
Bob Woodward,171
Tim F. Lahaye,171
Barbara Park,171
Harold Robbins,171
MARION ZIMMER BRADLEY,170
GABRIEL GARCIA MARQUEZ,170
ROBERT PIRSIG,170
Jan Burke,169
John Dunning,169
Karen Kijewski,169
Sharon Creech,168
Julie Smith,168
Meggin Cabot,168
Henry David Thoreau,168
Brian Herbert,167
Amanda Cross,167
James Ellroy,167
Emilie Richards,167
Carolyn Hart,167
Audrey Niffenegger,167
E. M. Forster,167
Judy Collins,167
C. J. Cherryh,166
Lalita Tademy,166
Dorothy Cannell,166
Edna Buchanan,166
Barbara Wood,166
Jerry Spinelli,166
Kyle Mills,165
Sylvia Nasar,165
Daniel Silva,165
RAYMOND FEIST,165
Anthony Bourdain,165
Peter Robinson,165
Barbara Vine,164
Elizabeth Bevarly,163
Arthur Conan, Sir Doyle,163
Gore Vidal,163
Lee Child,163
Sherrilyn Kenyon,163
Saul Bellow,163
Anais Nin,162
Wolfgang Hohlbein,162
Mary Karr,162
Rebecca Brandewyne,162
Ellen Gilchrist,162
Jasmine Cresswell,162
Lloyd Alexander,162
Peter Carey,161
Andrea Camilleri,161
Edward Abbey,161
Lydia Adamson,161
Francine Rivers,161
Laura Zigman,161
C.J. Cherryh,161
CORMAC MCCARTHY,160
Tony Hawks,160
Susan Howatch,159
William Styron,159
Alex Garland,158
Sarah Mlynowski,158
Wilson Rawls,158
Melanie Rawn,158
Sheri Holman,158
TERESA MEDEIROS,157
Bruce Wilkinson,157
Colin Dexter,157
Gail Godwin,157
Charles Grant,157
Susan Johnson,156
Wendy Corsi Staub,156
Bernard Werber,156
Leif Enger,156
Nancy Holder,156
Dorothea Benton Frank,155
Tanith Lee,155
JULIA GLASS,154
Donna Tartt,154
Emma Donoghue,154
A.S. BYATT,154
Annie Dillard,154
Helene Hanff,154
STAN BERENSTAIN,154
Laurie R. King,153
Tina Wainscott,153
Lynne Truss,153
Dodie Smith,153
Gaston Leroux,152
Guy Gavriel Kay,152
Lindsay McKenna,152
Sena Jeter Naslund,152
Richard Bachman,152
NORA ROBERTS,151
Pamela Morsi,151
Eric Lustbader,151
Judy Christenberry,151
John Vornholt,151
Author Unknown,150
Wendy Northcutt,150
Ann Rinaldi,150
Christopher Stasheff,150
Georges Simenon,150
James W. Hall,150
Allan Folsom,149
L. E. Modesitt Jr.,149
Anna Maxted,149
Jonathan Swift,149
Herge,149
Richard Scarry,149
Karin Slaughter,149
Elaine Coffman,149
Truman Capote,149
Sandra Dallas,148
Robert Rankin,147
Lynn Erickson,147
Gregory Benford,147
James Rollins,147
ELIZABETH BERG,146
Alan Lightman,146
Marianne Williamson,146
Susan Conant,146
Better Homes and Gardens,146
Ruth Langan,146
Frederik Pohl,146
Berke Breathed,145
Merline Lovelace,145
Diana Gabaldon,145
Leigh Greenwood,145
Jack L. Chalker,145
Mary Jane Clark,145
Beth Gutcheon,144
PHILLIP M. MARGOLIN,144
Teresa Medeiros,144
Valerie Tripp,144
Tim O'Brien,144
Lucy Maud Montgomery,144
David Drake,144
Raymond Chandler,144
Kelli M. Gary,143
Philip Jose Farmer,143
David J. Pelzer,143
Marlo Morgan,143
Diane Hoh,143
Lynsay Sands,143
Jennifer Chiaverini,143
Lois Battle,143
Oliver Sacks,143
Marilyn French,142
Elizabeth Adler,142
Joan Hohl,142
John Knowles,142
Nuala O'Faolain,141
Stephen Crane,141
Bodie Thoene,141
John Gardner,141
Erica Jong,141
Charles Bukowski,141
Jennifer Roberson,141
RICHARD RUSSO,140
Claire Delacroix,140
Adeline Yen Mah,139
Deborah Crombie,139
Catherine Marshall,139
Lynne Graham,139
Patrick Robinson,139
Peggy Parish,139
Michael J. Fox,138
Thomas Perry,138
L. M. Montgomery,138
Michael Lee West,137
Linda Barnes,137
Jessica Steele,137
David P. Jordan,137
Susan Kearney,137
Dean Wesley Smith,137
Mark Helprin,136
Annette Broadrick,136
DR SEUSS,136
Daphne Du Maurier,136
Christopher Rice,136
Amanda Ashley,135
Reginald Hill,135
Clamp,135
Caroline Burnes,135
Chelsea Quinn Yarbro,135
Josie Litton,135
Iris Murdoch,134
FRANCINE PASCAL,134
Steven Brust,134
Elizabeth Marshall Thomas,134
Lance Armstrong,134
Sharon Shinn,134
Barbara Bretton,134
Alice Munro,133
Dalai Lama,133
Beverly Barton,133
Donald E. Westlake,133
Paul Reiser,133
Stephen L. Carter,133
Lee Smith,133
Patricia A. McKillip,132
Tori Carrington,132
Margaret George,132
Karen Hesse,132
Josephine Tey,132
Don Miguel Ruiz,132
Christine Rimmer,132
Stephen Dobyns,132
John Lescroart,132
Penelope Fitzgerald,132
ANNE FRANK,131
Sujata Massey,131
Julia Cameron,131
Katherine Sutcliffe,131
Russell Banks,131
SARA PARETSKY,131
Thomas Mann,131
Thomas Pynchon,131
Michael Blake,131
Margery Allingham,130
Stan Redding,130
Henry Miller,130
Bruce Sterling,130
Stef Ann Holm,130
Jill Marie Landis,130
Julian Barnes,130
Donna Woolfolk Cross,130
Norman Mailer,129
Taylor Smith,129
Tamora Pierce,129
Maureen Child,129
Eugenia Price,129
Elliott Roosevelt,129
Margaret Mitchell,129
Dinah Mccall,129
Dale Carnegie,129
Sherman Alexie,129
JANE FEATHER,129
Sir Arthur Conan Doyle,129
Betty Smith,129
Mark Bowden,129
Gina Wilkins,128
Jack Finney,128
Evelyn Waugh,128
Jill Barnett,128
Dallas Schulze,128
Anita Brookner,128
Jon Hassler,128
Gregory McDonald,128
Robert Barnard,128
Anne Mather,128
David Feldman,128
Anthony Burgess,128
Andrea Kane,127
Michael Moorcock,127
A. A. Milne,127
Cathleen Schine,127
Michael Dorris,127
Tracy Kidder,127
Michael Ende,127
Michael Teitelbaum,127
Michael Slade,127
Sharon Kay Penman,127
Peter Jenkins,126
FERN MICHAELS,126
Nadine Gordimer,126
Kathy Lette,126
Kay Allenbaugh,126
Elizabeth Wurtzel,126
Marianne Fredriksson,126
PIERS ANTHONY,126
CLARISSA PINKOLA PHD ESTES,125
Ellen Raskin,125
Geoffrey Chaucer,125
Kathleen Eagle,125
Mercer Mayer,125
James Grippando,125
Thomas Moore,124
Poppy Z. Brite,124
Simon Brett,124
Stephen W. Frey,124
Amelie Nothomb,124
Kathy Hepinstall,124
Tara Taylor Quinn,124
John Connolly,124
Carla Cassidy,124
Stephen Baxter,124
Neale Donald Walsch,124
P.D. James,124
Jacqueline Carey,124
Laura Childs,123
Cornelia Funke,123
Judith Guest,123
Edward Packard,123
Bradley Trevor Greive,123
Diane Chamberlain,123
William Trevor,123
Wayne W. Dyer,123
CHRIS BOHJALIAN,123
PERRI O'SHAUGHNESSY,123
John Mortimer,123
Paul Zindel,123
MAEVE BINCHY,122
Tony Parsons,122
Christina Schwarz,122
Bethany Campbell,122
HAVEN KIMMEL,122
ALBERT CAMUS,122
Patti Berg,121
Elizabeth Moon,121
Craig Thomas,121
Octavia E. Butler,121
Sue Henry,121
SANDRA CISNEROS,121
Raymond Carver,121
Janelle Denison,120
Emma Goldrick,120
William Goldman,120
T. H. White,120
Laura Wolf,120
Andrew Morton,120
Joshua Piven,120
Carole Matthews,120
Jane Langton,120
Jeanne Ray,120
Joseph Kanon,120
Vonda N. McIntyre,120
Jo-Ann Mapson,119
Michael Shaara,119
Dai Sijie,119
Carolyn Parkhurst,119
Laurie Paige,119
Laura Van Wormer,119
Melody Beattie,119
ADRIANA TRIGIANI,119
George R.R. Martin,119
Martin Amis,119
Doris May Lessing,118
Marion Chesney,118
Robert Heinlein,118
Norton Juster,118
Homer Hickam,118
Trevanian,118
JANE GREEN,118
Marian Babson,118
Sparkle Hayter,118
MARY HIGGINS CLARK,117
Judith Bowen,117
Shirley Rousseau Murphy,117
Isak Dinesen,117
William Bernhardt,117
Stephen Jay Gould,117
Tennessee Williams,117
JAMES CLAVELL,117
Cathy Maxwell,117
Mel Odom,117
P.D. JAMES,117
Harry Kemelman,117
Ingrid Noll,117
Bruce Chatwin,117
Laura Joh Rowland,117
Elizabeth Buchan,117
Frank Peretti,116
Leslie Glass,116
Joan Wolf,116
DOUGLAS ADAMS,116
James Fenimore Cooper,116
Margaret Peterson Haddix,116
Marilyn Pappano,116
Thomas Cahill,116
PAUL REISER,116
JOHN LE CARRE,116
Thomas H. Cook,116
Jay McInerney,115
Michael A. Stackpole,115
Ben M. Baglio,115
Malika Oufkir,115
Bobby Hutchinson,115
Suzanne Forster,115
Arnette Lamb,115
Stephen Cosgrove,115
Jean Plaidy,115
Tim Dorsey,114
Mildred D. Taylor,114
Noam Chomsky,114
Karen Cushman,114
Tim Green,114
Reader's Digest,114
JONATHAN HARR,114
Richard P. Feynman,113
Alan Paton,113
Nicholson Baker,113
Rona Jaffe,113
PAT CONROY,113
Jennifer Belle,113
Allan Gurganus,113
Katie Macalister,113
Harold Coyle,113
Claire Cook,113
Marguerite Duras,113
Margot Dalton,113
Joe McGinniss,113
Irvine Welsh,112
SUE MARGOLIS,112
Larry Bond,112
Vikram Seth,112
Jennifer Lauck,112
Charles De Lint,112
Sandra Marton,112
Oscar Hijuelos,112
Wallace Stegner,112
Elizabeth Young,112
Patricia Potter,112
Lurlene McDaniel,112
Cathy Gillen Thacker,112
Betty J. Eadie,111
Malachy McCourt,111
Bill Richardson,111
Georgette Heyer,111
Jorge Luis Borges,111
Hanif Kureishi,111
Luis Sepulveda,111
John Varley,111
Cait London,111
Timothy Findley,111
LAURA ESQUIVEL,111
Gordon R. Dickson,111
Erle Stanley Gardner,111
Selma Eichler,111
Philip Friedman,110
Robert Graves,110
Bonnie Bryant,110
Erich Maria Remarque,110
Maud Hart Lovelace,110
John Peel,110
Charlotte Vale Allen,110
D.H. Lawrence,110
Alvin Schwartz,110
Peter Maas,110
Stephen Chbosky,110
Ann Major,110
Norah Hess,110
STEPHEN KING,110
Kathryn Shay,110
Robyn Donald,109
Walter Dean Myers,109
Gary Jennings,109
Graham Masterton,109
Plato,109
John R. Maxim,109
Rosie O'Donnell,109
Patricia Rosemoor,109
VLADIMIR NABOKOV,109
John E. Douglas,108
Jerome Preisler,108
Pete Hamill,108
Bryce Courtenay,108
Readers Digest,108
Jane Haddam,108
Andrew Klavan,108
Richard Peck,108
Claire M. Johnson,108
William W. Johnstone,107
William Boyd,107
Wladimir Kaminer,107
Laura Lippman,107
